16777216, 2097152, 2.506353
16777216, 4194304, 2.390695
16777216, 8388608, 2.560951
33554432, 1, 3.548680
33554432, 2, 3.571519
33554432, 4, 3.733865
33554432, 8, 3.917112
33554432, 16, 5.532731
33554432, 32, 9.310974
33554432, 64, 9.788564
33554432, 128, 9.235196
33554432, 256, 9.638113
33554432, 512, 10.377856
33554432, 1024, 11.198885
33554432, 2048, 12.288914
33554432, 4096, 13.765612
33554432, 8192, 13.100775
33554432, 16384, 11.561228
33554432, 32768, 11.744219
33554432, 65536, 13.583435
33554432, 131072, 9.218264
33554432, 262144, 4.083371
33554432, 524288, 4.197039
33554432, 1048576, 3.758083
33554432, 2097152, 3.563133
33554432, 4194304, 2.508044
33554432, 8388608, 2.391311
33554432, 16777216, 2.560731
67108864, 1, 3.549660
67108864, 2, 3.571802
67108864, 4, 3.735966
67108864, 8, 3.946797
67108864, 16, 5.603570
67108864, 32, 9.379888
67108864, 64, 9.722085
67108864, 128, 9.305862
67108864, 256, 9.607345
67108864, 512, 10.381210
67108864, 1024, 11.260575
67108864, 2048, 12.415210
67108864, 4096, 13.724091
67108864, 8192, 13.246001
67108864, 16384, 11.714543
67108864, 32768, 11.867429
67108864, 65536, 14.428762
67108864, 131072, 13.309410
67108864, 262144, 9.689329
67108864, 524288, 4.111390
67108864, 1048576, 4.182713
67108864, 2097152, 4.022961
67108864, 4194304, 3.875090
67108864, 8388608, 2.681669
67108864, 16777216, 2.391489
67108864, 33554432, 2.562282
